1      859-4900 Washington, D.C.    T.M. 75 W.     Used 2001->          
       PREDICTED HOURLY HEIGHTS  YEAR 2017  MONTH  3  DATUM   1.55      *NOAA, NATIONAL OCEAN SERVICE*     -0.0000000

       DAY   HOURS    HOURS    HOURS    HOURS    HOURS    HOURS    HOURS    HOURS    HOURS    HOURS    HOURS    HOURS
              0/12     1/13     2/14     3/15     4/16     5/17     6/18     7/19     8/20     9/21    10/22    11/23

        1      1.9      1.3      0.7      0.2     -0.1     -0.1      0.3      1.3      2.4      3.0      3.1      2.8
        1      2.2      1.6      1.0      0.4      0.0     -0.2      0.0      0.7      1.8      2.6      3.0      2.9
        2      2.4      1.8      1.1      0.5      0.1     -0.1     -0.1      0.5      1.6      2.6      3.1      3.1
        2      2.8      2.1      1.5      0.9      0.4      0.0     -0.1      0.1      0.9      1.9      2.7      2.9
        3      2.8      2.3      1.6      1.0      0.4      0.0     -0.1      0.1      0.7      1.8      2.8      3.2
        3      3.1      2.7      2.1      1.4      0.8      0.4      0.0     -0.1      0.2      1.0      2.0      2.6
        4      2.8      2.6      2.2      1.5      0.9      0.4      0.1     -0.1      0.2      0.9      2.0      2.8
        4      3.1      3.1      2.6      2.0      1.4      0.8      0.4      0.1     -0.0      0.3      1.1      2.0
        5      2.6      2.8      2.6      2.1      1.5      0.9      0.4      0.1      0.0      0.3      1.0      2.0
        5      2.8      3.1      3.0      2.6      2.0      1.4      0.9      0.5      0.2      0.0      0.3      1.1
        6      2.0      2.5      2.7      2.5      2.1      1.5      0.9      0.5      0.2      0.1      0.3      1.0
        6      2.0      2.7      3.0      2.9      2.6      2.0      1.5      1.0      0.5      0.2      0.0      0.3
        7      1.1      1.9      2.5      2.7      2.6      2.1      1.5      1.0      0.5      0.2      0.1      0.3
        7      1.0      1.9      2.6      2.9      2.9      2.6      2.1      1.5      1.0      0.6      0.2      0.0
        8      0.3      1.1      1.9      2.5      2.7      2.6      2.2      1.6      1.0      0.6      0.2      0.0
        8      0.2      0.9      1.8      2.5      2.9      2.9      2.6      2.1      1.6      1.1      0.6      0.2
        9     -0.0      0.3      1.1      1.9      2.5      2.8      2.7      2.2      1.7      1.1      0.6      0.2
